Data from QEB17871__18__09-21-42-938.txt Node

Date: Wed Nov 06 09:21:42 EST 2024
User: Rodrigo
Spectrometer: QEB1787
Trigger mode: 0
Integration Time (sec): 1.000000E-1
Scans to average: 9
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 1044
>>>>>Begin Spectral Data<<<<<
199.544	-1.72
200.34	-1.72
201.136	-1.39
201.933	-0.39
202.729	-1.06
203.525	-1.61
204.321	-1.39
205.117	-1.61
205.913	-1.39
206.709	-1.28
207.505	-1.72
208.301	-1.17
209.097	-0.72
209.892	-1.06
210.688	-1.39
211.483	-1.06
212.279	-1.5
213.074	-0.83
213.87	-1.5
214.665	-1.39
215.46	-0.83
216.256	-1.28
217.051	-1.39
217.846	-1.06
218.641	-1.06
219.436	-1.06
220.231	-0.72
221.025	-0.72
221.82	-1.28
222.615	-1.39
223.41	-1.28
224.204	-0.5
224.999	-1.28
225.793	-0.39
226.588	-0.5
227.382	-0.72
228.176	-0.83
228.97	-0.28
229.765	-0.83
230.559	-1.28
231.353	-0.17
232.147	-0.28
232.941	-0.5
233.734	-0.94
234.528	-1.17
235.322	-0.94
236.116	-1.28
236.909	-1.83
237.703	-1.5
238.496	-0.39
239.29	-0.28
240.083	-0.61
240.876	-0.83
241.67	-0.17
242.463	-1.28
243.256	-0.5
244.049	-1.17
244.842	-1.72
245.635	-0.83
246.428	-0.61
247.221	-0.5
248.013	-0.72
248.806	-0.61
249.599	-0.28
250.391	-0.39
251.184	-0.72
251.976	-0.5
252.768	0.17
253.561	0.17
254.353	-0.83
255.145	-0.39
255.937	-1.39
256.729	-0.72
257.521	-0.06
258.313	-0.61
259.105	-1.5
259.897	-0.83
260.689	-0.72
261.48	0.39
262.272	-0.94
263.064	-1.17
263.855	-1.28
264.647	0.17
265.438	-0.94
266.229	-0.61
267.02	-0.06
267.812	-0.39
268.603	-0.17
269.394	-0.28
270.185	-1.17
270.976	-0.17
271.767	-0.61
272.557	0.28
273.348	-0.94
274.139	-1.39
274.93	0.06
275.72	-0.39
276.511	-0.39
277.301	-0.61
278.091	-0.72
278.882	0.06
279.672	0.5
280.462	-0.39
281.252	0.06
282.042	-0.28
282.832	-0.5
283.622	-0.06
284.412	0.17
285.202	-1.39
285.992	-0.39
286.781	-0.17
287.571	0.5
288.361	-0.61
289.15	-0.17
289.94	-0.39
290.729	-0.28
291.518	0.39
292.308	-0.39
293.097	-0.06
293.886	-0.61
294.675	-0.17
295.464	-0.94
296.253	-0.39
297.042	-0.06
297.83	0.17
298.619	-0.94
299.408	-0.61
300.197	-0.94
300.985	0.06
301.774	0.5
302.562	-0.06
303.35	-0.17
304.139	-0.5
304.927	0.28
305.715	0.17
306.503	-0.5
307.291	-0.72
308.079	-0.28
308.867	0.06
309.655	-0.17
310.443	-0.06
311.231	-0.61
312.018	-0.17
312.806	-0.06
313.593	0.06
314.381	0.17
315.168	0.17
315.956	0.06
316.743	0.39
317.53	-0.06
318.317	-1.17
319.104	-0.39
319.891	0.17
320.678	-0.61
321.465	-0.61
322.252	-0.72
